borough,income,housePrice,popDensity
City of London,99390.0,765000.0,28.9
Westminster,80760.0,875000.0,110.4
Kensington and Chelsea,116350.0,1195000.0,129.2
Camden,67990.0,675000.0,109.8
Tower Hamlets,45720.0,383000.0,149.8
Hammersmith and Fulham,62910.0,661000.0,111.8
Islington,54950.0,530000.0,153.0
Hackney,42690.0,433000.0,141.1
Southwark,48000.0,420000.0,108.2
Wandsworth,66220.0,532500.0,93.8
Lambeth,48610.0,420000.0,121.4
