listing,borough,airbnbScore,housingScore,latitude,longitude
1000127,Southwark,0.4141162869279948,0.6744046577955469,51.48638,-0.10696
10027526,Southwark,0.4141162869279948,0.6744046577955469,51.49171,-0.09273
10037680,Southwark,0.4141162869279948,0.6744046577955469,51.50175,-0.04442
10046063,Southwark,0.4141162869279948,0.6744046577955469,51.48556,-0.09647
10048821,Southwark,0.4141162869279948,0.6744046577955469,51.46789,-0.06187
10083909,Southwark,0.4141162869279948,0.6744046577955469,51.48136,-0.07294
10087915,Southwark,0.4141162869279948,0.6744046577955469,51.48186,-0.1046
10095559,Southwark,0.4141162869279948,0.6744046577955469,51.49892,-0.08529
10097696,Southwark,0.4141162869279948,0.6744046577955469,51.49593,-0.10291
10128260,Southwark,0.4141162869279948,0.6744046577955469,51.49271,-0.03693
1015806,Southwark,0.4141162869279948,0.6744046577955469,51.49424,-0.04095
10229385,Southwark,0.4141162869279948,0.6744046577955469,51.50532,-0.03603
10242363,Southwark,0.4141162869279948,0.6744046577955469,51.4922,-0.10307
10266559,Southwark,0.4141162869279948,0.6744046577955469,51.46631,-0.06131
10290133,Southwark,0.4141162869279948,0.6744046577955469,51.50158,-0.10032
10327325,Southwark,0.4141162869279948,0.6744046577955469,51.49888,-0.08193
1034548,Southwark,0.4141162869279948,0.6744046577955469,51.47082,-0.061
10350641,Southwark,0.4141162869279948,0.6744046577955469,51.48341,-0.09343
10400391,Southwark,0.4141162869279948,0.6744046577955469,51.46923,-0.07057
10420857,Southwark,0.4141162869279948,0.6744046577955469,51.50446,-0.08165
10558633,Southwark,0.4141162869279948,0.6744046577955469,51.49198,-0.05871
10656153,Southwark,0.4141162869279948,0.6744046577955469,51.46501,-0.06742
10666349,Southwark,0.4141162869279948,0.6744046577955469,51.44502,-0.07319
10681236,Southwark,0.4141162869279948,0.6744046577955469,51.47948,-0.08907
10735914,Southwark,0.4141162869279948,0.6744046577955469,51.50069,-0.03385
10764277,Southwark,0.4141162869279948,0.6744046577955469,51.49436,-0.05871
10778641,Southwark,0.4141162869279948,0.6744046577955469,51.48775,-0.07294
10827805,Southwark,0.4141162869279948,0.6744046577955469,51.47118,-0.08797
10898692,Southwark,0.4141162869279948,0.6744046577955469,51.4981,-0.03337
10915364,Southwark,0.4141162869279948,0.6744046577955469,51.45176,-0.09777
10918272,Southwark,0.4141162869279948,0.6744046577955469,51.49577,-0.11091
10976789,Southwark,0.4141162869279948,0.6744046577955469,51.45504,-0.09298
11034598,Southwark,0.4141162869279948,0.6744046577955469,51.45429,-0.06836
11067969,Southwark,0.4141162869279948,0.6744046577955469,51.48746,-0.10522
11102169,Southwark,0.4141162869279948,0.6744046577955469,51.45374,-0.09374
11103037,Southwark,0.4141162869279948,0.6744046577955469,51.49543,-0.10016
11122311,Southwark,0.4141162869279948,0.6744046577955469,51.50289,-0.04045
11135133,Southwark,0.4141162869279948,0.6744046577955469,51.46023,-0.06925
1113888,Southwark,0.4141162869279948,0.6744046577955469,51.49656,-0.09108
11158781,Southwark,0.4141162869279948,0.6744046577955469,51.48885,-0.10153
11177214,Southwark,0.4141162869279948,0.6744046577955469,51.46129,-0.08864
11187322,Southwark,0.4141162869279948,0.6744046577955469,51.47889,-0.08633
11201320,Southwark,0.4141162869279948,0.6744046577955469,51.49941,-0.0821
1124117,Southwark,0.4141162869279948,0.6744046577955469,51.46131,-0.07684
11245057,Southwark,0.4141162869279948,0.6744046577955469,51.50425,-0.10299
11295762,Southwark,0.4141162869279948,0.6744046577955469,51.50014,-0.08279
11370140,Southwark,0.4141162869279948,0.6744046577955469,51.5046,-0.08054
11388375,Southwark,0.4141162869279948,0.6744046577955469,51.50265,-0.0739
11467184,Southwark,0.4141162869279948,0.6744046577955469,51.49375,-0.0985
11540806,Southwark,0.4141162869279948,0.6744046577955469,51.49466,-0.10446
11557723,Southwark,0.4141162869279948,0.6744046577955469,51.49543,-0.09677
11569406,Southwark,0.4141162869279948,0.6744046577955469,51.47775,-0.06388
11614478,Southwark,0.4141162869279948,0.6744046577955469,51.49807,-0.08464
11614602,Southwark,0.4141162869279948,0.6744046577955469,51.49456,-0.07433
11632576,Southwark,0.4141162869279948,0.6744046577955469,51.4534,-0.07064
11655209,Southwark,0.4141162869279948,0.6744046577955469,51.49338,-0.09164
11674307,Southwark,0.4141162869279948,0.6744046577955469,51.46866,-0.08371
11683211,Southwark,0.4141162869279948,0.6744046577955469,51.48961,-0.09255
11692160,Southwark,0.4141162869279948,0.6744046577955469,51.45971,-0.07811
11697274,Southwark,0.4141162869279948,0.6744046577955469,51.49941,-0.08189
11710683,Southwark,0.4141162869279948,0.6744046577955469,51.49739,-0.08346
11742426,Southwark,0.4141162869279948,0.6744046577955469,51.4939,-0.09739
11815973,Southwark,0.4141162869279948,0.6744046577955469,51.50353,-0.09981
11819197,Southwark,0.4141162869279948,0.6744046577955469,51.44942,-0.08714
11856809,Southwark,0.4141162869279948,0.6744046577955469,51.46708,-0.07021
11899055,Southwark,0.4141162869279948,0.6744046577955469,51.49825,-0.07918
11900475,Southwark,0.4141162869279948,0.6744046577955469,51.50659,-0.0401
11999624,Southwark,0.4141162869279948,0.6744046577955469,51.49976,-0.08206
12000230,Southwark,0.4141162869279948,0.6744046577955469,51.46249,-0.08206
12019308,Southwark,0.4141162869279948,0.6744046577955469,51.49072,-0.04277
12024411,Southwark,0.4141162869279948,0.6744046577955469,51.497,-0.10266
12025747,Southwark,0.4141162869279948,0.6744046577955469,51.4804,-0.07626
1203832,Southwark,0.4141162869279948,0.6744046577955469,51.49124,-0.10134
12049574,Southwark,0.4141162869279948,0.6744046577955469,51.49892,-0.10851
12068046,Southwark,0.4141162869279948,0.6744046577955469,51.49466,-0.09953
12077371,Southwark,0.4141162869279948,0.6744046577955469,51.4941,-0.08286
1208247,Southwark,0.4141162869279948,0.6744046577955469,51.50133,-0.06868
12101827,Southwark,0.4141162869279948,0.6744046577955469,51.50051,-0.0867
12111729,Southwark,0.4141162869279948,0.6744046577955469,51.50074,-0.0776
12123879,Southwark,0.4141162869279948,0.6744046577955469,51.49196,-0.0922
12169346,Southwark,0.4141162869279948,0.6744046577955469,51.44335,-0.09376
12190237,Southwark,0.4141162869279948,0.6744046577955469,51.49633,-0.08492
1219352,Southwark,0.4141162869279948,0.6744046577955469,51.42996,-0.07749
1219421,Southwark,0.4141162869279948,0.6744046577955469,51.48703,-0.07464
12206203,Southwark,0.4141162869279948,0.6744046577955469,51.50092,-0.03434
1221768,Southwark,0.4141162869279948,0.6744046577955469,51.49415,-0.10003
12224188,Southwark,0.4141162869279948,0.6744046577955469,51.48109,-0.07653
12225196,Southwark,0.4141162869279948,0.6744046577955469,51.50134,-0.07665
12305125,Southwark,0.4141162869279948,0.6744046577955469,51.48706,-0.092
12307194,Southwark,0.4141162869279948,0.6744046577955469,51.46782,-0.05656
12312442,Southwark,0.4141162869279948,0.6744046577955469,51.5013,-0.07479
12314277,Southwark,0.4141162869279948,0.6744046577955469,51.45322,-0.06117
12340837,Southwark,0.4141162869279948,0.6744046577955469,51.49413,-0.05331
12340846,Southwark,0.4141162869279948,0.6744046577955469,51.45493,-0.0571
12349872,Southwark,0.4141162869279948,0.6744046577955469,51.49015,-0.09281
12351637,Southwark,0.4141162869279948,0.6744046577955469,51.46179,-0.0716
12372741,Southwark,0.4141162869279948,0.6744046577955469,51.50404,-0.04513
12386580,Southwark,0.4141162869279948,0.6744046577955469,51.47973,-0.08914
12407978,Southwark,0.4141162869279948,0.6744046577955469,51.50243,-0.09591
12423140,Southwark,0.4141162869279948,0.6744046577955469,51.49595,-0.10418
12462382,Southwark,0.4141162869279948,0.6744046577955469,51.4999,-0.06832
12467129,Southwark,0.4141162869279948,0.6744046577955469,51.4753,-0.09944
12526617,Southwark,0.4141162869279948,0.6744046577955469,51.47122,-0.07921
12533320,Southwark,0.4141162869279948,0.6744046577955469,51.49512,-0.10289
12565697,Southwark,0.4141162869279948,0.6744046577955469,51.49656,-0.10294
12638018,Southwark,0.4141162869279948,0.6744046577955469,51.47291,-0.09637
12646480,Southwark,0.4141162869279948,0.6744046577955469,51.49786,-0.08087
12709826,Southwark,0.4141162869279948,0.6744046577955469,51.49484,-0.09834
12716038,Southwark,0.4141162869279948,0.6744046577955469,51.49492,-0.07539
