borough,listingCount,entireHomeShare,multiHostShare,multiHostShare2,activeListingsShare,avgReviewsPerMonth,avgAvailability,populationEstimate,householdEstimate,populationDensity,medianIncome,medianHousePrice,newHomes,rentedAssociationRatio,rentedPrivateRatio,transportScore,cyclePerMonth,carsPerHousehold,ownedRatio,netMigration,airbnbPerHousehold,airbnbPerCapita,priceIncomeRatio
Lewisham,2323,0.4128282393456737,0.13043478260869565,0.09298321136461472,0.4179939733103745,0.703280241067585,102.33491175204477,299817,128966.0,84.7,43360,315000,1470.0,28.1,23.6,4.1,13.1,0.7,,2447.0,18.012499418451377,0.0077480596497196625,7.264760147601476
Merton,1446,0.44744121715076074,0.13623789764868602,0.12309820193637622,0.4094052558782849,0.6204702627939143,116.55601659751038,207141,83446.0,55.7,57160,385000,430.0,16.2,29.3,3.4,19.4,0.9,,-1825.0,17.328571770965652,0.00698075224122699,6.735479356193142
Newham,1964,0.3925661914460285,0.23828920570264767,0.1629327902240326,0.4923625254582485,0.8981822810590632,124.16751527494908,337378,116187.0,93.5,34260,250000,2050.0,31.4,42.5,3.9,7.1,0.6,,984.0,16.903784416500983,0.0058213635743883715,7.297139521307647
Redbridge,686,0.2857142857142857,0.20116618075801748,0.10349854227405247,0.4606413994169096,0.7210204081632653,172.91836734693877,301022,109114.0,53.3,45380,301500,260.0,11.3,24.1,3.0,9.5,1.1,,1781.0,6.287002584452957,0.0022789032030881462,6.643895989422653
Richmond upon Thames,1198,0.5542570951585977,0.1352253756260434,0.10934891485809682,0.48330550918196996,0.8088230383973289,114.04340567612688,196602,84615.0,34.3,76610,535000,240.0,8.7,21.9,3.1,31.7,1.1,,634.0,14.158246173846244,0.006093529058707439,6.983422529695862
Southwark,4886,0.5347932869422841,0.2079410560785919,0.15247646336471551,0.5096193205075726,0.9942488743348341,95.23291035611952,310642,132080.0,108.2,48000,420000,1140.0,37.2,26.4,4.9,15.6,0.5,,672.0,36.99273167777105,0.01572871665776038,8.75
Sutton,280,0.3,0.05,0.04642857142857143,0.5142857142857142,0.8319285714285715,141.94642857142858,201751,84612.0,46.1,49170,285000,430.0,11.6,20.5,2.9,12.5,1.2,,1059.0,3.30922327802203,0.0013878493786895728,5.796217205613178
Tower Hamlets,8024,0.48691425722831505,0.35929710867397807,0.22108673978065801,0.4993768693918245,1.01311814556331,107.00112163509472,297805,120576.0,149.8,45720,383000,920.0,41.6,31.5,5.0,19.3,0.4,,7592.0,66.54723991507431,0.026943805510317154,8.377077865266841
Waltham Forest,1393,0.457286432160804,0.1407035175879397,0.12849964106245512,0.4737975592246949,0.7127063890882986,114.10624551328068,274139,104777.0,71.1,39460,320000,670.0,19.9,30.0,3.6,12.8,0.8,,-977.0,13.29490250722964,0.0050813638336756175,8.109477952356817
Wandsworth,4262,0.5572501173158142,0.18488972313467855,0.16213045518535898,0.4683247301736274,0.7624519005161896,93.99554199906147,318253,136572.0,93.8,66220,532500,1080.0,19.3,31.2,4.3,18.2,0.7,,-2384.0,31.206982397563188,0.013391861192196146,8.04137722742374
Westminster,9411,0.7565614706194879,0.5168419934119647,0.4182339815109978,0.5611518435872914,1.0517405164169589,144.24046328764211,239862,117509.0,110.4,80760,875000,750.0,27.8,43.3,6.5,18.4,0.5,,4886.0,80.08748266090257,0.039235060159591766,10.8345715700842
