from_borough,to_borough,similarity
Camden,Lambeth,0.7782788484352793
Haringey,Lewisham,0.7766247707820354
Camden,City of London,0.7711273723888636
Ealing,Newham,0.7583316654387713
Barnet,Hounslow,0.7582732749725044
Barnet,Enfield,0.7538298173977047
Bromley,Richmond upon Thames,0.7336620767255084
Barnet,Sutton,0.7293205077454404
Kensington and Chelsea,Lambeth,0.7215452457741643
Brent,Ealing,0.7164642730795288
Hillingdon,Merton,0.7158687159704497
Barnet,Bexley,0.7118405073783197
City of London,Kensington and Chelsea,0.7087402753232238
Lewisham,Waltham Forest,0.6996544189086247
Barking and Dagenham,Barnet,0.694753814990737
City of London,Westminster,0.690846883212563
Kingston upon Thames,Richmond upon Thames,0.6897871460016349
Havering,Richmond upon Thames,0.6694023116041303
City of London,Islington,0.6681777019752883
Barnet,Greenwich,0.6657323378429667
Lambeth,Newham,0.6613503417553922
City of London,Tower Hamlets,0.6556467841352788
Barking and Dagenham,Waltham Forest,0.6527587222044164
Greenwich,Richmond upon Thames,0.651136081154459
Redbridge,Waltham Forest,0.6495016193580287
Barnet,Havering,0.6395239991523696
Harrow,Waltham Forest,0.624502316951278
Bexley,Richmond upon Thames,0.6174412223671952
Brent,Lambeth,0.6097959854616154
Barnet,Kingston upon Thames,0.6096734054433856
Sutton,Waltham Forest,0.6070316895502382
Harrow,Merton,0.6020916622392566
Brent,Hammersmith and Fulham,0.6002577166342523
Enfield,Waltham Forest,0.5932392822748327
Brent,Wandsworth,0.5889193652845541
Hillingdon,Waltham Forest,0.5874767071556245
Croydon,Waltham Forest,0.5816501018621401
Richmond upon Thames,Sutton,0.5807570065123874
Barnet,Bromley,0.5789467427256277
Barking and Dagenham,Richmond upon Thames,0.5783675152293977
City of London,Southwark,0.5691969074674079
Enfield,Richmond upon Thames,0.562305442539289
Newham,Wandsworth,0.5545624402140649
Greenwich,Waltham Forest,0.5469660021866332
City of London,Hammersmith and Fulham,0.5469573878708629
Hounslow,Richmond upon Thames,0.5456654260586861
Hammersmith and Fulham,Newham,0.5400309023025616
Kingston upon Thames,Waltham Forest,0.531852755221706
Bexley,Waltham Forest,0.5191771159173898
City of London,Wandsworth,0.5181240389528335
Hackney,Newham,0.5170173022439254
Croydon,Richmond upon Thames,0.5069913588628995
Brent,Westminster,0.5031501782929041
Brent,Hackney,0.4976043358881729
Brent,Kensington and Chelsea,0.4943265608225838
City of London,Hackney,0.4925359428953875
Redbridge,Richmond upon Thames,0.4860071909915121
Ealing,Harrow,0.4842868151024103
Brent,Tower Hamlets,0.4823777322384571
Lewisham,Newham,0.4757388497957451
Hounslow,Waltham Forest,0.4661712900306998
Brent,Southwark,0.4579909510119137
Newham,Southwark,0.4560795630628415
Newham,Waltham Forest,0.4531108222843219
Haringey,Lambeth,0.447286225187594
Newham,Tower Hamlets,0.415957123004097
Hackney,Haringey,0.4155712941394637
Ealing,Lewisham,0.4085263254292336
Hillingdon,Richmond upon Thames,0.4013875362162728
Brent,Camden,0.3920223602811053
Newham,Westminster,0.3818828734349693
Haringey,Southwark,0.3713522938245496
Ealing,Hillingdon,0.3695062188908231
Brent,Islington,0.3615262294962204
Lambeth,Lewisham,0.3610043389261859
Haringey,Islington,0.3539280153588425
Barnet,Merton,0.3487382178150597
Islington,Newham,0.3432590558661227
