listing,listingName,borough,airbnbScore,housingScore,latitude,longitude,price,reviews
1124117,Beautiful Victorian Dulwich House,Southwark,0.4141162869279948,0.6744046577955469,51.46131,-0.07684,140.0,0.35
11245057,Flat in amazing central London location,Southwark,0.4141162869279948,0.6744046577955469,51.50425,-0.10299,115.0,0.1
11295762,Cozy Chic London Flat,Southwark,0.4141162869279948,0.6744046577955469,51.50014,-0.08279,85.0,0.07
11370140,Very Central & Cosy in Tower Bridge,Southwark,0.4141162869279948,0.6744046577955469,51.5046,-0.08054,90.0,0.1
11388375,Warehouse Apartment Nr Tower Bridge,Southwark,0.4141162869279948,0.6744046577955469,51.50265,-0.0739,155.0,0.0
11467184,Chic Central London Flat - Breathtaking Views,Southwark,0.4141162869279948,0.6744046577955469,51.49375,-0.0985,147.0,1.24
11540806,One bed flat in Elephant and Castle,Southwark,0.4141162869279948,0.6744046577955469,51.49466,-0.10446,70.0,0.0
11557723,"Cosy 1—bed flat in Zone 1, Borough",Southwark,0.4141162869279948,0.6744046577955469,51.49543,-0.09677,79.0,0.35
11569406,Beautiful victorian family home,Southwark,0.4141162869279948,0.6744046577955469,51.47775,-0.06388,69.0,0.05
11614478,Lovely 2 BR London Bridge Apartment,Southwark,0.4141162869279948,0.6744046577955469,51.49807,-0.08464,150.0,1.94
11614602,Bright house close to Tower Bridge,Southwark,0.4141162869279948,0.6744046577955469,51.49456,-0.07433,55.0,0.0
11632576,"Family home + garden, 1/2 hr to central London",Southwark,0.4141162869279948,0.6744046577955469,51.4534,-0.07064,200.0,0.0
11655209,Double bed flat in central London ZONE 1,Southwark,0.4141162869279948,0.6744046577955469,51.49338,-0.09164,89.0,0.57
11674307,Camberwell Grove beautiful flat,Southwark,0.4141162869279948,0.6744046577955469,51.46866,-0.08371,100.0,1.37
11683211,Bright and clean flat in zone 1,Southwark,0.4141162869279948,0.6744046577955469,51.48961,-0.09255,105.0,0.15
11692160,Modern openplan two bedroom flat,Southwark,0.4141162869279948,0.6744046577955469,51.45971,-0.07811,91.0,0.0
11697274,Expansive Converted Warehouse Flat,Southwark,0.4141162869279948,0.6744046577955469,51.49941,-0.08189,200.0,0.0
11710683,"""Monica"" apartment, 2B sup., free wifi",Southwark,0.4141162869279948,0.6744046577955469,51.49739,-0.08346,195.0,0.3
11742426,Gorgeous Apartment Central London Zone 1 all inc.,Southwark,0.4141162869279948,0.6744046577955469,51.4939,-0.09739,145.0,1.56
11815973,One bedroom flat - central location,Southwark,0.4141162869279948,0.6744046577955469,51.50353,-0.09981,250.0,0.2
11819197,Charming Victorian family house,Southwark,0.4141162869279948,0.6744046577955469,51.44942,-0.08714,150.0,0.0
11856809,"Elegant Victorian House, London",Southwark,0.4141162869279948,0.6744046577955469,51.46708,-0.07021,140.0,0.0
11899055,2 bedroom apartment at Tower Bridge for 6/7 guests,Southwark,0.4141162869279948,0.6744046577955469,51.49825,-0.07918,199.0,0.16
11900475,Quiet Riverside Flat in Rotherhithe,Southwark,0.4141162869279948,0.6744046577955469,51.50659,-0.0401,150.0,1.43
11999624,"Modern, Spacious Apt, Bermondsey St",Southwark,0.4141162869279948,0.6744046577955469,51.49976,-0.08206,140.0,0.72
12000230,Charming Victorian house (discount),Southwark,0.4141162869279948,0.6744046577955469,51.46249,-0.08206,85.0,0.13
12019308,Beautiful 2 bed Flat w/ Balcony and shared terrace,Southwark,0.4141162869279948,0.6744046577955469,51.49072,-0.04277,100.0,0.39
12024411,CENTRAL HUGE 3 BEDROOMS-MONEY SAVER,Southwark,0.4141162869279948,0.6744046577955469,51.497,-0.10266,200.0,2.72
12025747,Modern & Bright 2-Bed near Burgess Park in Peckham,Southwark,0.4141162869279948,0.6744046577955469,51.4804,-0.07626,125.0,0.84
1203832,Best location 2Bedr-Apart Zone1,Southwark,0.4141162869279948,0.6744046577955469,51.49124,-0.10134,100.0,2.54
